time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,main_category,category_of_expenditure,early_years_establishments,primary_schools,secondary_schools,sen_and_special_schools,pupil_referral_units_and_alt_provision,post_16,gross_expenditure,income,net_expenditure,net_per_capita_expenditure,EES_order
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Solihull,334,E08000029,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,755185,96763,658422,16,67
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Solihull,334,E08000029,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,2611610,0,2611610,62,68
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Solihull,334,E08000029,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,94694,0,94694,2,69
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Solihull,334,E08000029,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,0,0,5053430,0,x,5053430,0,5053430,120,70
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Solihull,334,E08000029,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,0,522894,0,0,522894,91752,431142,10,72
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Solihull,334,E08000029,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,413283,0,0,413283,0,413283,10,73
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.0.2 High needs place funding within Individual Schools Budget,0,618500,35833,7596090,1333333,x,9583756,,9583756,392,2
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.2.1 Top-up funding – maintained schools,908605,7140496,472691,10160522,1209036,x,19891351,0,19891351,266,12
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",102026,2486885,3803980,4403271,235535,1851218,12882915,0,12882915,172,13
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,244669,131522,59400,11866464,1048662,2307970,15658687,0,15658687,209,14
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,0,0,x,x,x,0,0,0,0,15
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.2.5 SEN support service,210219,1313870,788322,262774,52555,0,2627739,0,2627739,35,16
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.2.6 Hospital education services,x,x,x,6215,50000,x,56215,0,56215,1,17
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.2.7 Other alternative provision services,0,0,0,0,1888464,0,1888464,0,1888464,25,18
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.2.8 Support for inclusion,0,120000,0,0,50000,0,170000,0,170000,2,19
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.2.11 Direct payments (SEN and disability),0,0,0,175685,0,0,175685,0,175685,2,22
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.2.13 Therapies and other health related services,0,0,0,0,0,0,0,0,0,0,24
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Schools,1.4.11 SEN transport,0,0,0,0,0,0,0,0,0,0,36
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,1741803,441709,1300094,24,67
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,1887111,0,1887111,35,68
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,130004,43000,87004,2,69
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,54216,742756,1810806,4299308,498785,x,7405870,357874,7047997,129,70
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,48794,547579,54216,151804,802393,19950,782443,14,72
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Walsall,335,E08000030,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,168069,0,303608,471677,0,471677,9,73
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.0.2 High needs place funding within Individual Schools Budget,685918,473000,76000,3317699,1922395,x,6475013,,6475013,411,2
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.2.1 Top-up funding – maintained schools,326428,2558586,263641,4582124,2365807,x,10096586,0,10096586,149,12
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",0,2850100,1812622,8392085,1693946,179816,14928569,0,14928569,221,13
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,0,0,0,5954112,87732,2356598,8398442,0,8398442,124,14
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,0,0,x,x,x,0,0,0,0,15
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.2.5 SEN support service,1013552,0,0,1176189,0,0,2189741,345690,1844051,27,16
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.2.6 Hospital education services,x,x,x,0,514500,x,514500,0,514500,8,17
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.2.7 Other alternative provision services,0,0,0,0,3634018,3868,3637885,0,3637885,54,18
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.2.8 Support for inclusion,0,0,0,1484499,0,0,1484499,0,1484499,22,19
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,322322,0,0,322322,0,322322,5,21
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.2.11 Direct payments (SEN and disability),0,0,0,371532,0,0,371532,0,371532,5,22
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.2.13 Therapies and other health related services,0,0,0,0,0,0,0,0,0,0,24
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Schools,1.4.11 SEN transport,0,0,0,0,0,0,0,0,0,0,36
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,1602353,935586,666767,13,67
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,1844778,149448,1695330,34,68
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,257070,37755,219315,4,69
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,204075,59020,5335830,1620924,x,7219849,588635,6631214,132,70
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,0,0,0,0,0,0,0,0,72
202324,Financial year,Local authority,England,E92000001,West Midlands,E12000005,Wolverhampton,336,E08000031,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,0,0,0,0,0,0,0,73
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.0.2 High needs place funding within Individual Schools Budget,0,288000,0,6050766,1379136,x,7717902,,7717902,587,2
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.2.1 Top-up funding – maintained schools,18741,2888466,1034878,7346655,981987,x,12270728,0,12270728,331,12
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",0,1783501,604346,1284941,0,835516,4508304,0,4508304,122,13
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,0,0,0,12876370,0,0,12876370,0,12876370,348,14
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,331486,31894,x,x,x,363380,0,363380,10,15
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.2.5 SEN support service,0,0,0,994579,0,0,994579,0,994579,27,16
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.2.6 Hospital education services,x,x,x,167039,0,x,167039,0,167039,5,17
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.2.7 Other alternative provision services,0,0,0,188846,29658,633201,851705,0,851705,23,18
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.2.8 Support for inclusion,0,0,0,0,0,0,0,0,0,0,19
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,2593,407,x,3000,0,3000,0,20
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.2.11 Direct payments (SEN and disability),0,0,0,0,0,0,0,0,0,0,22
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.2.13 Therapies and other health related services,0,0,0,0,0,0,0,0,0,0,24
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Schools,1.4.11 SEN transport,0,0,0,0,0,0,0,0,0,0,36
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,753335,143451,609884,27,67
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,498331,0,498331,22,68
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,116395,39000,77395,3,69
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,0,0,5723302,0,x,5723302,0,5723302,253,70
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,0,264812,0,0,264812,0,264812,12,72
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,26851,0,0,26851,0,26851,1,73
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.0.2 High needs place funding within Individual Schools Budget,287500,2048667,120000,18431064,2100000,x,22987231,,22987231,433,2
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.2.1 Top-up funding – maintained schools,102657,6607464,1042229,22771048,3865217,x,34388616,0,34388616,313,12
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",0,916359,1344592,0,284703,1412266,3957919,0,3957919,36,13
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,0,0,2311120,11762941,2046752,543730,16664543,0,16664543,152,14
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,476250,304487,x,x,x,780737,0,780737,7,15
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.2.5 SEN support service,611802,4468361,2479583,1591891,290569,208487,9650693,0,9650693,88,16
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.2.6 Hospital education services,x,x,x,0,0,x,0,0,0,0,17
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.2.7 Other alternative provision services,0,0,0,0,588357,0,588357,0,588357,5,18
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.2.8 Support for inclusion,2800,432908,24500,2100,0,4900,467208,0,467208,4,19
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.2.11 Direct payments (SEN and disability),0,0,0,18938,0,0,18938,0,18938,0,22
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.2.13 Therapies and other health related services,0,0,0,0,0,0,0,0,0,0,24
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Schools,1.4.11 SEN transport,0,0,0,0,0,0,0,0,0,0,36
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,1951616,652447,1299169,16,67
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,5224609,0,5224609,65,68
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,161513,36687,124826,2,69
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,0,0,13036704,0,x,13036704,0,13036704,162,70
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,0,0,0,2300595,2300595,0,2300595,29,72
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,0,0,0,0,0,0,0,73
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.0.2 High needs place funding within Individual Schools Budget,0,400000,276500,4107495,1250000,x,6033995,,6033995,335,2
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.2.1 Top-up funding – maintained schools,0,3578755,1344167,6847483,1219512,x,12989917,850685,12139232,303,12
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",0,180863,975628,0,0,0,1156491,0,1156491,29,13
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,0,0,0,8592193,0,1020818,9613011,0,9613011,240,14
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,0,0,x,x,x,0,0,0,0,15
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.2.5 SEN support service,0,833617,592997,22686,7543,0,1456843,178255,1278588,32,16
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.2.6 Hospital education services,x,x,x,0,0,x,0,0,0,0,17
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.2.7 Other alternative provision services,0,0,0,0,406955,0,406955,4708,402247,10,18
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.2.8 Support for inclusion,0,0,0,0,0,0,0,0,0,0,19
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.2.11 Direct payments (SEN and disability),0,0,0,0,0,0,0,0,0,0,22
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.2.13 Therapies and other health related services,0,0,0,0,0,0,0,0,0,0,24
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Schools,1.4.11 SEN transport,0,0,0,50500,0,0,50500,0,50500,2,36
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,803703,52464,751239,26,67
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,1560212,368071,1192141,41,68
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,122243,16433,105810,4,69
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,0,0,3314920,0,x,3314920,0,3314920,115,70
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,0,0,0,249437,249437,0,249437,9,72
202324,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,0,0,243687,243687,0,243687,8,73
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.0.2 High needs place funding within Individual Schools Budget,208671,1679000,105000,8141598,1360000,x,11494269,,11494269,462,2
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.2.1 Top-up funding – maintained schools,647863,10619495,541797,10592850,1850909,x,24252914,0,24252914,417,12
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",0,1320007,4172587,0,0,1526795,7019390,0,7019390,121,13
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,251631,0,0,13548862,0,2221732,16022224,63330,15958894,274,14
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,0,0,x,x,x,0,0,0,0,15
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.2.5 SEN support service,325591,1622586,718819,501418,90542,29653,3288609,246023,3042586,52,16
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.2.6 Hospital education services,x,x,x,0,0,x,0,0,0,0,17
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.2.7 Other alternative provision services,0,55758,1003651,0,27879,27879,1115168,213603,901566,16,18
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.2.8 Support for inclusion,0,660977,588793,0,0,0,1249770,0,1249770,21,19
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.2.11 Direct payments (SEN and disability),0,0,0,0,0,0,0,0,0,0,22
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.2.13 Therapies and other health related services,0,0,0,773463,0,0,773463,0,773463,13,24
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Schools,1.4.11 SEN transport,0,0,0,0,0,0,0,0,0,0,36
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,1348319,719797,628522,15,67
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,2097100,410850,1686250,40,68
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,117390,38382,79008,2,69
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,1899850,776849,7405074,0,x,10081773,0,10081773,238,70
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,162177,1599235,0,835848,2597260,0,2597260,61,72
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,0,0,928063,928063,0,928063,22,73
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.0.2 High needs place funding within Individual Schools Budget,156000,973333,52110,17532570,0,x,18714013,,18714013,692,2
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.2.1 Top-up funding – maintained schools,682504,6104414,818219,12989240,0,x,20594377,0,20594377,288,12
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",0,2025659,4657089,0,1354999,3195589,11233336,0,11233336,157,13
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,234627,0,219455,12800536,0,0,13254618,0,13254618,185,14
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,0,0,x,x,x,0,0,0,0,15
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.2.5 SEN support service,578842,809107,1411876,367975,0,0,3167800,485305,2682494,37,16
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.2.6 Hospital education services,x,x,x,82912,0,x,82912,0,82912,1,17
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.2.7 Other alternative provision services,0,0,0,0,0,0,0,0,0,0,18
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.2.8 Support for inclusion,0,0,0,476379,0,0,476379,0,476379,7,19
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.2.11 Direct payments (SEN and disability),0,0,0,0,0,0,0,0,0,0,22
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.2.13 Therapies and other health related services,0,0,0,18500,0,0,18500,0,18500,0,24
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Schools,1.4.11 SEN transport,0,0,0,58200,0,0,58200,0,58200,1,36
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,1469910,15645,1454264,27,67
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,1652251,0,1652251,31,68
202324,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,110000,0,110000,2,69
