EstablishmentName,SEN_Provision_List,HasSENProvision
Paddock - Sure Start Paddock Children's Centre,Not applicable,False
Paddock Wood Children's Centre,Not applicable,False
Padiham Whitegate Children's Centre,Not applicable,False
Paignton & Brixham Children's Centre,Not applicable,False
Painswick Children's Centre,Not applicable,False
Forest Wood Childrens Centre,Not applicable,False
Palfrey Sure Start Children's Centre,Not applicable,False
Paradise Park Children's Centre,Not applicable,False
Parenting 2000 Children's Centre,Not applicable,False
Park Children's Centre,Not applicable,False
Park Outreach,Not applicable,False
Park End Children's Centre,Not applicable,False
Park Futures Children's Centre,Not applicable,False
Park Lane Children's Centre,Not applicable,False
Flying Start South Children's Centre,Not applicable,False
Park View Children's Centre,Not applicable,False
"Parkfield, the Hyde, and Childs Hill Children's Centre",Not applicable,False
Parkland Children's Centre,Not applicable,False
Parklands Children's Centre,Not applicable,False
Parklands Children's Centre,Not applicable,False
Parks and Walcot Children's Centre,Not applicable,False
Parliament Children's Centre,Not applicable,False
Parr Children's Centre,Not applicable,False
Partington Children's Centre,Not applicable,False
Flying Start West @ Pastures Way,Not applicable,False
Patchway Children's Centre,Not applicable,False
Pathways Children's Centre,Not applicable,False
Yvonne Carr Children Centre,Not applicable,False
Paulsgrove Area Children's Centre,Not applicable,False
Paulton Children's Centre,Not applicable,False
Peabody Children's Centre,Not applicable,False
Peacehaven Children's Centre,Not applicable,False
Pear Tree,Not applicable,False
Pear Tree CC (Bedford Borough),Not applicable,False
Pear Tree Children's Centre,Not applicable,False
Pear Tree Children's Centre,Not applicable,False
Peasedown St John Children's Centre,Not applicable,False
Peasmarsh CE Primary School,Not applicable,False
The Brooks Children's Centre,Not applicable,False
Pebbles Children's Centre,Not applicable,False
Pebbles Children's Centre,Not applicable,False
Pelsall Sure Start Children's Centre,Not applicable,False
Pembury House Nursery School & Children's Centre,Not applicable,False
Pen Green Centre for Children and Families,Not applicable,False
Pendleside Children's Centre,Not applicable,False
Penfold Children's Centre,Not applicable,False
Stoke Childrens Centre,Not applicable,False
Penrith Drive Children's Centre,Not applicable,False
North Eden SureStart Children's Centre,Not applicable,False
Penryn Children's Centre,Not applicable,False
South and West Hub - Pensby Children's Centre,Not applicable,False
West Penwith Children's Centre,Not applicable,False
Peppermint Children's Centre,Not applicable,False
Sunflower Children's Centre,Not applicable,False
Perivale Children's Centre,Not applicable,False
Peters Hill Children's Centre,Not applicable,False
Pewsey Children's Centre,Not applicable,False
Pheasey Park Farm Sure Start Children's Centre,Not applicable,False
Phoenix SSCC,Not applicable,False
Picton Children's Centre,Not applicable,False
Pilgrims Way Primary School & Children's Centre,Not applicable,False
Pine Cones Family Hub (Bedford Borough),Not applicable,False
Pine Ridge School Sure Start Children's Centre,Not applicable,False
Pinkwell Children's Centre,Not applicable,False
Pinmoor Children's Centre,Not applicable,False
Pinner Wood,Not applicable,False
Plaistow Children's Centre,Not applicable,False
Platt Bridge Sure Start Children's Centre,Not applicable,False
PLEASLEY HILL Children's Centre,Not applicable,False
Plum Tree Children's Centre,Not applicable,False
Plumstead Children's Centre,Not applicable,False
Plymbridge Children's Centre,Not applicable,False
Popin Children's Centre,Not applicable,False
Plymstock Children's Centre,Not applicable,False
Sure Start Children's Centre Pocklington,Not applicable,False
Portswood Sure Start Childrens Centre,Not applicable,False
Pokesdown Children's Centre,Not applicable,False
Pomfret Children's Centre,Not applicable,False
Ponders End Children's Centre,Not applicable,False
Pondhu Children's Centre,Not applicable,False
Ponteland Children's Centre,Not applicable,False
Poplar Street Primary School & Children's Centre,Not applicable,False
Poppies and Water Meadow Children's Centre,Not applicable,False
Portishead Children's Centre,Not applicable,False
Portsdown and Drayton and Farlington Children's Centre,Not applicable,False
Portsea Sure Start Children's Centre,Not applicable,False
Potters Gate Sure Start Children's Centre,Not applicable,False
Poulton Children's Centre,Not applicable,False
Poulton le Fylde Children's Centre,Not applicable,False
Pound Park Nursery School and Children's Centre,Not applicable,False
Poynton Children's Centre,Not applicable,False
Prenton Children's Centre,Not applicable,False
Preston Park Children's Centre,Not applicable,False
Preston Park Children's Centre,Not applicable,False
Primrose Centre,Not applicable,False
Primrose Family Hub,Not applicable,False
Primrose Hill Children's Centre,Not applicable,False
Prince Avenue Children and Family Centre,Not applicable,False
Prince of Wales Childrens Centre,Not applicable,False
Princeville Primary School and Children's Centre,Not applicable,False
Priory Children's Centre,Not applicable,False
Priory Children's Centre,Not applicable,False
Priory Children's Centre,Not applicable,False
Roseland Children's Centre,Not applicable,False
PROSPECT KILTON Children's Centre,Not applicable,False
Prudhoe Children's Centre,Not applicable,False
Pudsey Children's Centre,Not applicable,False
Purley Oaks Children's Centre,Not applicable,False
Putnoe CC (Bedford Borough),Not applicable,False
Pyrford & Byfleet Sure Start Children's Centre,Not applicable,False
The Oval,Not applicable,False
Quaggy Children's Centre,Not applicable,False
Quarry Bank Children's Centre,Not applicable,False
Quarry Mount Children's Centre,Not applicable,False
Quedgeley Library Children's Centre,Not applicable,False
Queen Street Children's Centre,Not applicable,False
Queen Victoria Children's Centre,Not applicable,False
North West Locality Hub Lead -Queen's Park Children's Centre,Not applicable,False
Queens Park Children's Centre,Not applicable,False
Queens Park Family Hub (Bedford Borough),Not applicable,False
Queensway Outreach,Not applicable,False
Queensway Children's Centre,Not applicable,False
Canberra Children's Centre,Not applicable,False
Rachel McMillan Nursery School and Children's Centre,Not applicable,False
Radford Children's Centre,Not applicable,False
Radford Children's Centre,Not applicable,False
Radiomarathon Children's Centre,Not applicable,False
Radstock Children's Centre,Not applicable,False
Rainbow Children's Centre,Not applicable,False
Friars Children's Centre,Not applicable,False
Rainbow Children's Centre,Not applicable,False
Rainbow Children's Centre,Not applicable,False
Rainham Village Children's Centre,Not applicable,False
Ramsey Child and Family Zone,Not applicable,False
Randolph Beresford Early Years Centre,Not applicable,False
RAVENSDALE with Forest Town Children's Centre,Not applicable,False
Ravensthorpe Children's Centre,Not applicable,False
Ravenswood Family Hub,Not applicable,False
Rawmarsh Children's Centre,Not applicable,False
Rawthorpe & Dalton Children's centre,Not applicable,False
Ray Allen Children's Centre,Not applicable,False
Rayners Lane Children's Centre,Not applicable,False
Rebecca Cheetham Nursery and Children's Centre,Not applicable,False
Yeovil,Not applicable,False
Chadwell Childrens Centre Nursery,Not applicable,False
Redbridge School Children's Centre,Not applicable,False
Redcar SureStart Children's Centre,Not applicable,False
Redcar Coast SureStart Children's Centre,Not applicable,False
Redcliffe Children's Centre and Maintained Nursery,Not applicable,False
Spring Rise Children's Centre,Not applicable,False
Redruth Children's Centre,Not applicable,False
Reedley Hallows Children's Centre,Not applicable,False
Reevy Hill Children's Centre,Not applicable,False
Regents Park Children's Centre,Not applicable,False
RETFORD CENTRAL Childen's Centre,Not applicable,False
Revoe Children's Centre,Not applicable,False
Ribblesdale Children's Centre,Not applicable,False
Richard Lee Children's Centre,Not applicable,False
Richmond Hill Children's Centre,Not applicable,False
Ridge Hill Children's Centre,Not applicable,False
Ridgeway Children's Centre,Not applicable,False
Rift House Children's Centre,Not applicable,False
Risborough Family Centre,Not applicable,False
Worsbrough Common Family Centre,Not applicable,False
River Children's Centre,Not applicable,False
Riverbank,Not applicable,False
Purfleet Children's Centre P3-5,Not applicable,False
Riverley Children Centre,Not applicable,False
Riverside Outreach,Not applicable,False
Riverside Children's Centre,Not applicable,False
Riverside Children's Centre (Gravesend),Not applicable,False
Riverside Family Hub,Not applicable,False
Riverside Children's Centre,Not applicable,False
Riverside Children's Centre,Not applicable,False
Riverside Children's Centre,Not applicable,False
Riverside Children's Centre,Not applicable,False
Riverside Children's Centre (Canterbury),Not applicable,False
Riversley Park Children's Centre,Not applicable,False
Riversmeet CC (Bedford Borough),Not applicable,False
Riverview Sure Start Children's Centre,Not applicable,False
Roade Library and Children's Centre,Not applicable,False
Robert Owen Early Years Centre,Not applicable,False
Robins Family Hub,Not applicable,False
Robsack Children's Centre,Not applicable,False
Roc1 Wishing Well Family Hub Delivery Site,Not applicable,False
Roc1/A Sea Shells Family Hub Delivery Site,Not applicable,False
Roc5/A Willows Family Hub Delivery Site,Not applicable,False
Roc5 the Oak Tree Family Hub,Not applicable,False
Rock Ferry Children's Centre,Not applicable,False
Rockingham Early Years,Not applicable,False
Rookery Children's Centre,Not applicable,False
Rose Hill Children's Centre,Not applicable,False
Rosehill-Littlemore Children and Family Centre,Not applicable,False
Rosendale Primary School & Children's Centre,Not applicable,False
Rossington Children's Centre,Not applicable,False
Rossmore Children's Centre,Not applicable,False
Rothbury Children's Centre,Not applicable,False
Rotherham Central Children's Centre,Not applicable,False
Rotherhithe Primary School & Children's Centre,Not applicable,False
Rothesay Nursery & Children's Centre,Not applicable,False
Rothwell Children's Centre,Not applicable,False
Rothwell Library and Children's Centre,Not applicable,False
Roundabout Children's Centre,Not applicable,False
Barton Children and Family Centre,Not applicable,False
Roundhay Children's Centre,Not applicable,False
Rowanfield Children's Centre,Not applicable,False
Rowans and Sycamores Children's Centre,Not applicable,False
Rowland Hill Nursery School & Children's Centre,Not applicable,False
Rowlatts Hill Children's Centre,Not applicable,False
Rowley Fields Sure Start Children's Centre,Not applicable,False
Rowley Hall Sure Start Children's Centre,Not applicable,False
Rowley Springfield Sure Start Children's Centre,Not applicable,False
RUDDINGTON & EDWALTON Children's Centre,Not applicable,False
East Reading Children's centre,Not applicable,False
Rural Children's Centre,Not applicable,False
RURAL FAMILIES Children's Centre,Not applicable,False
Rural Wyre Children's Centre,Not applicable,False
Rushden Children's Centre,Not applicable,False
Rusholme Sure Start Children's Centre,Not applicable,False
Rye Oak Primary School & Children's Centre,Not applicable,False
"Children's Centre, Ross On Wye",Not applicable,False
Little Stars at Anston Brook,Not applicable,False
S1 Bridge Road Family Centre,Not applicable,False
S2 St Nicholas & Martins Wood Family Centre,Not applicable,False
S3 Bedwell Family Centre,Not applicable,False
S4 Chells & Manor Family Centre,Not applicable,False
S5 Shephall Family Centre,Not applicable,False
S6 Broadwater Family Centre,Not applicable,False
SA1 Lamer Fields Family Centre,Not applicable,False
SA10 London Colney Family Centre,Not applicable,False
SA2 Batford Family Centre,Not applicable,False
SA3 Southdown Family Centre,Not applicable,False
SA4 Redbourn and Villages Family Centre,Not applicable,False
SA5 Marshalswick Family Centre,Not applicable,False
SA6 St Albans Family Centre,Not applicable,False
SA7 Sopwell and Verulam Family Centre,Not applicable,False
SA8 Fleetville Family Centre,Not applicable,False
SA9 Park Street and St Stephens Family Centre,Not applicable,False
Saffron Children's Centre,Not applicable,False
Saffron Sure Start Children's Centre,Not applicable,False
Sale Central Children's Centre,Not applicable,False
Sale Moor Children's Centre,Not applicable,False
Sale Road Sure Start Children's Centre,Not applicable,False
Sale Children's Centre,Not applicable,False
Salisbury City Children's Centre,Not applicable,False
Saltburn SureStart Children's Centre,Not applicable,False
Baildon Children's Centre,Not applicable,False
Sandbach Children's Centre,Not applicable,False
Sandbrook Children's Centre,Not applicable,False
Sanderstead Children's Centre,Not applicable,False
Sandy Childrens Centre,Not applicable,False
Sandy Lane Children's Centre,Not applicable,False
Great Sankey Children's Centre,Not applicable,False
Savile Town Children's Centre,Not applicable,False
Sawston Child and Family Zone,Not applicable,False
Sawtry Child and Family Zone,Not applicable,False
Saxon Sure Start Children's Centre,Not applicable,False
Saxon Way Primary School and Children's Centre,Not applicable,False
Sayes Court Sure Start Children's Centre,Not applicable,False
Scarborough North Children's Centre,Not applicable,False
Scarborough South Children's Centre,Not applicable,False
Scarborough Central,Not applicable,False
Scartho Outreach,Not applicable,False
Wallasey Hub - Seacombe Children's Centre,Not applicable,False
Seacroft Children's Centre,Not applicable,False
Seaforth Children's Centre,Not applicable,False
Seagulls Children's Centre,Not applicable,False
Seaham Children's Centre,Not applicable,False
SeaMoor Ivybridge Area Children's Centre,Not applicable,False
Seascape Children's Centre,Not applicable,False
Seashells Children's Centre,Not applicable,False
Seaton Valley Children's Centre,Not applicable,False
Sebright Children's Centre,Not applicable,False
Athersley Family Centre,Not applicable,False
Prestwich Children's Centre Hub,Not applicable,False
Seedlings Children's Centre,Not applicable,False
Selby North Children's Centre,Not applicable,False
Selby South Children's Centre,Not applicable,False
Selhurst Children's Centre,Not applicable,False
Seven Trees Children's Centre - EY272664,Not applicable,False
Severn Beach Children's Centre,Not applicable,False
Shadsworth Children's Centre,Not applicable,False
Ocean Sure Start Children's Centre,Not applicable,False
Shakespeare Children's Centre,Not applicable,False
Shanklin Community Children's Centre,Not applicable,False
Sharlston Children's Centre,Not applicable,False
Sharps Copse and Park Futures Children's Centre,Not applicable,False
Sharrow Family Hub,Not applicable,False
Sharston Sure Start Children Centre,Not applicable,False
Shaw & Crompton Children's Centre,Not applicable,False
Shaw Cross Children's Centre,Not applicable,False
Bright Futures Children's Centre,Not applicable,False
Shelthorpe Sure Start Children's Centre,Not applicable,False
Shepherds Bush Families Project and children's centre,Not applicable,False
Bankside Childrens Centre,Not applicable,False
Shepshed Sure Start Children's Centre,Not applicable,False
Mendip South East,Not applicable,False
Sherborne,Not applicable,False
Sherburn Children's Centre,Not applicable,False
Manor Park Community Children's Centre,Not applicable,False
Sherington Primary School and Children's Centre,Not applicable,False
Sherwood and Edwards Lane Children's Centre,Not applicable,False
SHERWOOD EAST Children's Centre,Not applicable,False
SHERWOOD WEST Children's Centre,Not applicable,False
Shevington Sure Start Children's Centre,Not applicable,False
Pebblebrook Area Children's Centre,Not applicable,False
The Together Centre,Not applicable,False
Shinewater Children's Centre,Not applicable,False
Shirebrook Children's Centre,Not applicable,False
Shiregreen Children's Centre,Not applicable,False
Shiremoor Children's Centre,Not applicable,False
Shirley Heath Children's Centre (Shirley South),Not applicable,False
Sholing Sure Start Children's Centre,Not applicable,False
Shooters Grove Children's Centre,Not applicable,False
Shooter's Hill Children's Centre,Not applicable,False
Shortwood School & Children Centre,Not applicable,False
Shrewsbury (N) Early Help Family Hub,Not applicable,False
Shirley Children's Centre,Not applicable,False
Siddal Children's Centre,Not applicable,False
Sidley Children's Centre,Not applicable,False
Sidmouth Children's Centre,Not applicable,False
Silkmore Children's Centre,Not applicable,False
Daisy Chain Children's Centre,Not applicable,False
Flanderwell Early Years Excellence Centre,Not applicable,False
Sinfin Children and Young People's Centre,Not applicable,False
Six Bells Children's Centre,Not applicable,False
Skegness and Alford Children's Centre,Not applicable,False
Skelton SureStart Children's Centre,Not applicable,False
Skipton Children's Centre,Not applicable,False
Sure Start Children's Centre Skirlaugh,Not applicable,False
Slade Children's Centre,Not applicable,False
"Sleaford, Billinghay and Caythorpe Children's Centre",Not applicable,False
Smallwood Primary School and Children's Centre,Not applicable,False
Smethwick Cape Hill Sure Start Children's Centre,Not applicable,False
Smethwick Uplands Sure Start Children's Centre,Not applicable,False
Smith's Wood Children's Centre,Not applicable,False
Sneinton Children's Centre,Not applicable,False
Snodland Youth and Children's Centre,Not applicable,False
Snowberry Children's Centre,Not applicable,False
Soham Child and Family Zone,Not applicable,False
Somerford Children's Centre,Not applicable,False
Somerset Nursery School and Children's Centre,Not applicable,False
Knowle West Children's Centre and Nursery School EY367570,Not applicable,False
South Acton Children's Centre,Not applicable,False
South Ascot Children's Centre,Not applicable,False
South Bank SureStart Children's Centre,Not applicable,False
South Bermondsey Children and Parents Centre,Not applicable,False
South Camberley Sure Start Children's Centre,Not applicable,False
South Camberwell Children's Centre,Not applicable,False
South Craven Children's Centre,Not applicable,False
Sycamore Children's Centre,Not applicable,False
South Heaton,Not applicable,False
South Isleworth Childrens Centre,Not applicable,False
Worthing Central Family Hub (Library),Not applicable,False
South Molton & District Children's Centre,Not applicable,False
Morda Children's Centre delivery point,Not applicable,False
South Portslade Children's Centre,Not applicable,False
South Ruislip Children's Centre,Not applicable,False
Stifford Children's Centre P2-4,Not applicable,False
South Tonbridge Children's Centre,Not applicable,False
South Tyneside Early Excellence Centre,Not applicable,False
South Weston Children's Centre,Not applicable,False
South Wigston Sure Start Children's Centre,Not applicable,False
Waterside Children's Centre,Not applicable,False
South Witham and Bourne Children's Centre,Not applicable,False
Southall Park Children's Centre,Not applicable,False
Southborough Children's Centre,Not applicable,False
Pokesdown & Southbourne Children's Centre,Not applicable,False
Southcote Children's Centre,Not applicable,False
Southernway Children's Centre,Not applicable,False
Bestwood Children's Centre,Not applicable,False
Southlake Children's Centre,Not applicable,False
Badocks Wood Community Primary School & Children's Centre,Not applicable,False
Southmead Primary School and Centre for Children & Families,Not applicable,False
Southmead SSCC,Not applicable,False
Southsea and Brambles Children's Centre,Not applicable,False
Spalding and Deeping St Nicholas Centre,Not applicable,False
Sparklers and The Carroll Children's Centre,Not applicable,False
Speedwell Nursery School & Children's Centre,Not applicable,False
Speke Children's Centre,Not applicable,False
Spencer Nursery Children's Centre,Not applicable,False
"Spilsby, Horncastle and Tattershall Children's Centre",Not applicable,False
Spon Gate Children's Centre,Not applicable,False
Spondon Children's Centre,Not applicable,False
Spring House Children's Centre,Not applicable,False
Spring Lane Children's Centre,Not applicable,False
Spring Meadow Children's Centre,Not applicable,False
Spring Meadows Children Centre,Not applicable,False
Spring Wood Children's Centre,Not applicable,False
Springboard Children's Centre (Cirencester),Not applicable,False
Springboard Children's Centre (Northleach),Not applicable,False
Springboard Children's Centre (Stow),Not applicable,False
Springboard Children's Centre (Tetbury),Not applicable,False
Springfield Children's Centre,Not applicable,False
Library Children's Centre,Not applicable,False
Springwell Park Children's Centre,Not applicable,False
Squirrels Children's Centre,Not applicable,False
St Anne's Park Children's Centre,Not applicable,False
St. Ann's South Children's Centre,Not applicable,False
St Augustine's Children's Centre,Not applicable,False
St Austell & St Blazey Childrens Centre,Not applicable,False
St Blazey Children's Centre,Not applicable,False
St Clements Sure Start Children's Centre and Primary School,Not applicable,False
St Columb Minor,Not applicable,False
St Cuthbert with St Matthias CE Primary School and Earl's Court Children's Centre,Not applicable,False
St Cuthbert's Children's Centre,Not applicable,False
St. Cuthbert's Community Centre,Not applicable,False
Clays Children's Centre,Not applicable,False
St Edmunds Nursery School & Children's Centre,Not applicable,False
St Elvan's,Not applicable,False
St Ives Children's Centre,Not applicable,False
St Ives Child and Family Zone,Not applicable,False
St John Vianney RC Primary School and Children's Centre,Not applicable,False
St John's Children's Centre & Extended School,Not applicable,False
St John's Primary School and Sure Start Children's Centre,Not applicable,False
St Just Children's Centre,Not applicable,False
St Lawrence Children's Centre,Not applicable,False
St Lawrence's Children's Centre,Not applicable,False
St Leonards Children's Centre,Not applicable,False
Beya Children's Centre,Not applicable,False
St Margaret's at Troy Town Children's Centre,Not applicable,False
Bradley Children's Centre,Not applicable,False
St Martins Garden Children's Centre,Not applicable,False
St Martin's Sure Start Children's Centre,Not applicable,False
St Mary's Children's Centre,Not applicable,False
St Matthews Sure Start Children's Centre,Not applicable,False
Wrotham Clinic,Not applicable,False
St Paul's C/E Infant School & Sure Start Children's Centre,Not applicable,False
Harmony Children's Centre,Not applicable,False
St Paul's Heathside Children's Centre,Not applicable,False
St Paul's Nursery School & Children's Centre,Not applicable,False
St Peters Children's Centre,Not applicable,False
Kirkway Children's Centre,Not applicable,False
St Piers Sure Start Children's Centre,Not applicable,False
St Quintin's Children's Centre,Not applicable,False
St Raphaels Children's Centre,Not applicable,False
St Saviours Sure Start Children's Centre,Not applicable,False
St Stephens CE Primary School & Children's Centre,Not applicable,False
St Stephen's Children's Centre,Not applicable,False
St Thomas Children's Centre,Not applicable,False
St. Ann's North Children's Centre,Not applicable,False
Lincoln St. Giles Children's Centre,Not applicable,False
St. James' Children's Centre,Not applicable,False
St. Kilda Children's Centre,Not applicable,False
The Children's Centre at St Marks,Not applicable,False
Staffordshire Moorlands Children's Centre,Not applicable,False
Staghills Children's Centre,Not applicable,False
Staincliffe & Healey Children's Centre,Not applicable,False
Stainforth Children's Centre,Not applicable,False
Stamford and Market Deeping Children's Centre,Not applicable,False
Stamshaw Children's Centre,Not applicable,False
Standish & Aspull Children's Centre,Not applicable,False
Stanford Childrens Centre P2-6,Not applicable,False
STANHOPE Children's Centre,Not applicable,False
Stanlaw Abbey Children's Centre,Not applicable,False
Stanley Children's Centre,Not applicable,False
Stanley Children's Centre,Not applicable,False
Stanley Park Children's Centre,Not applicable,False
Stanley Road Children's Centre,Not applicable,False
Stanmore park,Not applicable,False
Stanwell Sure Start Children's Centre,Not applicable,False
Staple Hill Children's Centre,Not applicable,False
STAPLEFORD Children's Centre,Not applicable,False
Starfish and The Orchard Children's Centre,Not applicable,False
Staveley Children's Centre,Not applicable,False
Steers Mead Children's Centres,Not applicable,False
Stepping Stones Children's Centre,Not applicable,False
Radcliffe Children's Centre Spoke,Not applicable,False
Steppingstones Sure Start Children's Centre,Not applicable,False
Water Meadow Children's Centre,Not applicable,False
Stockingford Early Years Centre Nuneaton,Not applicable,False
Stocksbridge Family Hub Network Site,Not applicable,False
Stockwell Primary School and Children's Centre,Not applicable,False
Stoke Heath Children's Centre,Not applicable,False
Stoke-on-Trent North Children's Centre,Not applicable,False
Stokewood and Winton Children's Centre,Not applicable,False
Green Oak Children's Centre (formally Stonecot and Worcester Park Children's Centre),Not applicable,False
Stoneycroft Children's Centre,Not applicable,False
Stoneygate Children's Centre,Not applicable,False
Flying Start Central @Stopsley Baptist Church,Not applicable,False
Storkway and Shooter's Hill Children's Centre,Not applicable,False
Stotfold & District Children's Centre,Not applicable,False
Stourbridge Children's Centre,Not applicable,False
Stranton Centre,Not applicable,False
Stratford Children's Centre,Not applicable,False
Streatham Hub Children's Centre,Not applicable,False
Street Building,Not applicable,False
Streetly Sure Start Children's Centre,Not applicable,False
Stretford Children's Centre,Not applicable,False
Strong Close Nursery School & Children's Centre,Not applicable,False
Stubblee Hill and Sure Start Rowner Children's Centre,Not applicable,False
Studley Green Children's Centre,Not applicable,False
Sturton by Stow,Not applicable,False
Sue Bramley Children's Centre,Not applicable,False
The Sue Walker Children & Family Centre,Not applicable,False
SUMMER HOUSE Children's Centre,Not applicable,False
Summercourt Children's Centre,Not applicable,False
Summerfield Children's Centre,Not applicable,False
Summerville Children's Centre,Not applicable,False
KIRKBY EAST Children's Centre,Not applicable,False
Sunbeams and Reign and Shine Children's Centre,Not applicable,False
Sunbeam Children's Centre,Not applicable,False
Sunderland Children's Centre North,Not applicable,False
Sunderland Children's Centre Bunny Hill,Not applicable,False
Sunderland Children's Centre Coalfields,Not applicable,False
Sunderland Children's Centre Grangetown,Not applicable,False
Sunderland Children's Centre East,Not applicable,False
Sunderland Children's Centre Hetton,Not applicable,False
Sunderland Children's Centre Highfield,Not applicable,False
Sunderland Children's Centre Houghton,Not applicable,False
Sunderland Children's Centre Millfield,Not applicable,False
Sunderland Children's Centre New Silksworth,Not applicable,False
Sunderland Children's Centre Pennywell,Not applicable,False
Sunderland Children's Centre Ryhope,Not applicable,False
Sunderland Children's Centre West,Not applicable,False
Sunderland Children's Centre Washington (Oxclose),Not applicable,False
Sunderland Children's Centre Washington,Not applicable,False
Sunderland Children's Centre Washington (Wessington),Not applicable,False
The Sunflower Children's Centre,Not applicable,False
Sunflowers Children's Centre,Not applicable,False
Charford Children's Centre,Not applicable,False
Kendray & Worsbrough Family Centre,Not applicable,False
Eastwood Children's Centre,Not applicable,False
Sunnyhill Primary School and Children's Centre,Not applicable,False
Sunrise Children's Centre,Not applicable,False
Sunshine Childrens Centre,Not applicable,False
Sunshine Children's Centre,Not applicable,False
Sunshine Children's Centre,Not applicable,False
Sunshine Children's Centre,Not applicable,False
Sunshine Children's Centre,Not applicable,False
Sunshine Family Hub,Not applicable,False
Surbiton Children's Centre,Not applicable,False
Surbiton Town Children's Centre,Not applicable,False
Bede Childrens Centre,Not applicable,False
Birchwood and North Hykeham Children's Centre,Not applicable,False
Sure Start Blurton Children's Centre,Not applicable,False
Central Link Children's Centre,Not applicable,False
Sure Start Pinehurst and Penhill Children's Centre,Not applicable,False
St. Andrew's Way Children's Centre,Not applicable,False
Monksfield Way Children's Centre,Not applicable,False
Vicarage Way Children's Centre,Not applicable,False
Elliman Avenue Children's Centre,Not applicable,False
Romsey Close Children's Centre,Not applicable,False
Chalvey Grove Children's Centre,Not applicable,False
Penn Road Children's Centre,Not applicable,False
Orchard Avenue Children's Centre,Not applicable,False
Yew Tree Road Children's Centre,Not applicable,False
Wexham Road Children's Centre,Not applicable,False
Callington Children's Centre,Not applicable,False
Delaware Children's Centre,Not applicable,False
Looe Children's Centre,Not applicable,False
Liskeard & Looe Children's Centre,Not applicable,False
Torpoint Children's Centre,Not applicable,False
St Columb Major Children's Centre,Not applicable,False
Perranporth (St Piran's) Children's Centre Site,Not applicable,False
Saltash & Torpoint Children's Centre,Not applicable,False
Troon Children's Centre,Not applicable,False
Sure Start Central Children's Centre,Not applicable,False
Sure Start Fleetwood Children's Centre,Not applicable,False
Sure Start Four Woods Children's Centre,Not applicable,False
Sure Start Hyndburn - Accrington South,Not applicable,False
Sure Start Hyndburn - Church & West Accrington Childrens Centre,Not applicable,False
Sure Start LARK Children's Centre,Not applicable,False
Lincoln Central and Bracebridge Children's Centre,Not applicable,False
Sure Start Lune Park Children's Centre,Not applicable,False
Newsome and Lowerhouses Children's Centre,Not applicable,False
Sure Start North Fenham Children's Centre,Not applicable,False
Broxtowe Children's Centre (Formally Northwest),Not applicable,False
Sure Start Preston East Children's Centre,Not applicable,False
Sure Start Preston West Children's Centre,Not applicable,False
Sure Start Redhill and Ragworth Children's Centre,Not applicable,False
Bury East Children's Centre Spoke,Not applicable,False
Sure Start Ribbleton Children's Centre,Not applicable,False
Sure Start Riverbank Children's Centre,Not applicable,False
Rosehill Children's Centre,Not applicable,False
Sure Start Rowner Children's Centre,Not applicable,False
Soho Children's Centre,Not applicable,False
Somerstown and Portsea Sure Start Children's Centre,Not applicable,False
Sure Start South West Burnley Children's Centre,Not applicable,False
Thetford Children's Centre (Phase 1),Not applicable,False
Sure Start Thornhill Children's Centre,Not applicable,False
Sure Start Thornhill Lees Children's Centre,Not applicable,False
Sure Start Weymouth and Portland,Not applicable,False
Whitley Children's Centre,Not applicable,False
Sure Start Woodlands Children's Centre,Not applicable,False
Sure Steps Children's Centre,Not applicable,False
Beacon Heath Children's Centre,Not applicable,False
Rossmere Children's Centre,Not applicable,False
Sparkbrook Children's Centre,Not applicable,False
Surestart4u / Treehouse Children's Centre,Not applicable,False
Sutterton and Swineshead Children's Centre,Not applicable,False
Sutton Bridge Children's Centre,Not applicable,False
SUTTON Children's Centre,Not applicable,False
Sutton Children's Centre,Not applicable,False
Swaffham Children's Centre,Not applicable,False
Swalecliffe Children's Centre,Not applicable,False
Swanage,Not applicable,False
Swanley Children's Centre,Not applicable,False
Swanscombe Children's Centre,Not applicable,False
Swarcliffe Children's Centre,Not applicable,False
Swaythling Sure Start Childrens Centre,Not applicable,False
Sweet Peas Peverell Children's Centre,Not applicable,False
Sure Start Children's Centre Beverley One (Swinemoor),Not applicable,False
Swineshead and Holland Fen,Not applicable,False
Grantham Swingbridge Children's Centre,Not applicable,False
Swinnow Children's Centre,Not applicable,False
Swinton Moorside Children's Centre,Not applicable,False
Sybourn Children's Centre,Not applicable,False
Sedgemoor East,Not applicable,False
Sydney Russell Children's Centre,Not applicable,False
Sythwood Sure Start Children's Centre,Not applicable,False
Woking South Sure Start Children's Centre,Not applicable,False
Tadcaster Children's Centre,Not applicable,False
Home Tree Children's Centre,Not applicable,False
Talbot and Brunswick Children's Centre,Not applicable,False
Tamar FOLK (For Our Local Kids) Children's Centre,Not applicable,False
Tame Valley Children's Centre,Not applicable,False
Tarner Children's Centre,Not applicable,False
Tattershall and Coningsby,Not applicable,False
Tavistock & District Children's Centre,Not applicable,False
Teams Children's Centre,Not applicable,False
Ted Webster Children Centre,Not applicable,False
Stanley Children's Centre,Not applicable,False
Teign Valley Children's Centre,Not applicable,False
Teignmouth Children's Centre,Not applicable,False
Teme Valley Children's Centre,Not applicable,False
